city_id,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
95,Puerto Narino,-3.7703,-70.3831,71.24,99,100,1.32,CO,2022-04-21 05:54:41
96,Coquimbo,-29.9533,-71.3436,53.33,100,100,2.3,CL,2022-04-21 05:53:04
97,Atuona,-9.8,-139.0333,79.07,80,20,15.93,PF,2022-04-21 05:50:59
98,Tuatapere,-46.1333,167.6833,53.35,89,100,6.11,NZ,2022-04-21 05:54:42
99,Tabou,4.423,-7.3528,77.88,90,98,6.4,CI,2022-04-21 05:54:42
100,Liverpool,53.4106,-2.9779,47.28,77,0,11.5,GB,2022-04-21 05:53:15
101,Wageningen,51.9667,5.6667,46.98,80,56,5.75,NL,2022-04-21 05:54:43
102,Khandbari,27.3747,87.2039,80.31,48,10,5.97,NP,2022-04-21 05:54:43
103,Goderich,43.7501,-81.7165,46.9,46,100,14.97,CA,2022-04-21 05:52:21
104,Iqaluit,63.7506,-68.5145,15.53,78,100,10.36,CA,2022-04-21 05:54:44
105,Vestmannaeyjar,63.4427,-20.2734,46.8,90,100,9.13,IS,2022-04-21 05:54:44
106,Porto Nacional,-10.7081,-48.4172,77.0,92,84,2.06,BR,2022-04-21 05:54:45
107,Guymon,36.6828,-101.4816,58.24,45,45,11.14,US,2022-04-21 05:54:45
108,Kichera,55.9375,110.0997,31.71,69,100,10.16,RU,2022-04-21 05:54:46
109,Barrow,71.2906,-156.7887,2.71,94,97,10.65,US,2022-04-21 05:54:46
110,Oktyabrskoye,43.0645,44.7417,48.34,87,100,8.95,RU,2022-04-21 05:54:46
111,Kruisfontein,-34.0033,24.7314,70.12,40,100,6.69,ZA,2022-04-21 05:54:47
112,Dergachi,51.2328,48.7659,60.22,75,100,6.8,RU,2022-04-21 05:54:47
113,Bac Lieu,9.285,105.7244,87.87,64,85,15.57,VN,2022-04-21 05:54:48
114,Avera,33.194,-82.5271,57.25,73,100,9.55,US,2022-04-21 05:54:48
115,Ancud,-41.8697,-73.8203,55.22,95,100,24.61,CL,2022-04-21 05:54:48
116,Abay,49.6311,72.8539,64.78,38,91,23.85,KZ,2022-04-21 05:54:49
117,Chuy,-33.6971,-53.4616,61.2,93,84,7.74,UY,2022-04-21 05:54:49
118,Praia,14.9215,-23.5087,68.54,83,20,8.05,CV,2022-04-21 05:54:50
119,Talaya,61.3833,152.75,25.43,65,41,1.39,RU,2022-04-21 05:54:50
120,Peniche,39.3558,-9.3811,54.1,92,86,9.48,PT,2022-04-21 05:54:50
121,Narsaq,60.9167,-46.05,31.28,80,100,5.66,GL,2022-04-21 05:54:51
122,Saint-Augustin,51.226,-58.6502,34.2,86,94,14.09,CA,2022-04-21 05:54:51
123,Vanimo,-2.6741,141.3028,76.17,95,100,2.39,PG,2022-04-21 05:54:52
124,Nikolskoye,59.7035,30.7861,46.87,73,17,8.84,RU,2022-04-21 05:54:52
125,Bethel,41.3712,-73.414,43.93,67,61,2.73,US,2022-04-21 05:54:52
126,Lagoa,39.05,-27.9833,56.82,75,82,19.89,PT,2022-04-21 05:54:53
127,Ostersund,63.1792,14.6357,36.05,87,0,3.44,SE,2022-04-21 05:54:53
128,Lorengau,-2.0226,147.2712,85.26,66,23,10.02,PG,2022-04-21 05:54:54
129,Cidreira,-30.1811,-50.2056,65.57,85,4,10.02,BR,2022-04-21 05:54:54
130,Clyde River,70.4692,-68.5914,-0.17,85,100,8.05,CA,2022-04-21 05:54:54
131,Port Alfred,-33.5906,26.891,74.43,49,99,9.4,ZA,2022-04-21 05:54:55
132,Marshfield,44.6689,-90.1718,43.68,98,100,10.42,US,2022-04-21 05:54:55
133,San Patricio,28.017,-97.5169,76.15,94,13,13.0,US,2022-04-21 05:54:56
134,Leningradskiy,69.3833,178.4167,18.59,96,58,5.3,RU,2022-04-21 05:54:56
135,Lasa,46.6166,10.7002,45.48,87,93,2.17,IT,2022-04-21 05:54:56
136,Nunchia,5.6406,-72.1986,70.79,91,96,3.27,CO,2022-04-21 05:54:57
137,Sao Filipe,14.8961,-24.4956,72.16,80,81,6.87,CV,2022-04-21 05:54:57
138,Bay Roberts,47.5999,-53.2648,38.52,90,100,5.99,CA,2022-04-21 05:51:05
139,Dingle,10.9995,122.6711,88.38,63,91,11.86,PH,2022-04-21 05:55:03
140,Lebu,-37.6167,-73.65,49.86,76,90,0.38,CL,2022-04-21 05:55:03
141,Kalevala,65.2,31.1667,41.74,90,83,6.08,RU,2022-04-21 05:55:04
142,Half Moon Bay,37.4636,-122.4286,58.93,91,100,17.27,US,2022-04-21 05:55:04
143,Tiksi,71.6872,128.8694,13.3,92,100,6.38,RU,2022-04-21 05:55:05
144,Merauke,-8.4667,140.3333,84.94,68,89,8.14,ID,2022-04-21 05:55:05
145,Stokmarknes,68.5646,14.9108,40.98,93,75,3.44,NO,2022-04-21 05:55:05
146,Kanniyakumari,8.0833,77.5667,87.84,65,36,7.16,IN,2022-04-21 05:55:06
147,Sao Gabriel Da Cachoeira,-0.1303,-67.0892,71.67,100,100,0.94,BR,2022-04-21 05:55:06
148,Rumonge,-3.9736,29.4386,74.1,77,96,2.08,BI,2022-04-21 05:55:07
149,Suhut,38.5311,30.5458,48.31,50,1,2.55,TR,2022-04-21 05:55:07
150,Luba,3.4568,8.5547,73.29,83,90,5.35,GQ,2022-04-21 05:55:08
151,Kavieng,-2.5744,150.7967,83.59,76,100,12.15,PG,2022-04-21 05:55:08
152,Kapaa,22.0752,-159.319,75.18,97,88,1.99,US,2022-04-21 05:55:09
153,Kodiak,57.79,-152.4072,36.7,83,53,5.68,US,2022-04-21 05:55:09
154,Hobyo,5.3505,48.5268,84.85,66,90,10.33,SO,2022-04-21 05:55:09
155,Port Macquarie,-31.4333,152.9167,71.89,71,41,9.4,AU,2022-04-21 05:55:10
156,Aguie,13.506,7.7786,83.52,26,49,4.9,NE,2022-04-21 05:55:10
157,Hambantota,6.1241,81.1185,88.14,79,75,5.75,LK,2022-04-21 05:55:11
158,Ciudad Bolivar,8.1222,-63.5497,77.67,73,57,12.08,VE,2022-04-21 05:55:11
