City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
119,Butaritari,KI,2022-04-28 01:38:20,3.0707,172.7902,81.45,80,70,15.35
120,Rio Grande,BR,2022-04-28 01:38:20,-32.035,-52.0986,62.94,89,96,5.55
121,Norman Wells,CA,2022-04-28 01:38:21,65.282,-126.8329,35.64,60,100,11.5
122,Husavik,IS,2022-04-28 01:33:47,66.0449,-17.3389,37.89,87,69,4.74
123,Bluff,NZ,2022-04-28 01:38:21,-46.6,168.3333,55.8,67,96,6.53
124,Oranjemund,NA,2022-04-28 01:38:22,-28.55,16.4333,57.29,80,0,2.64
125,Plainview,US,2022-04-28 01:38:22,40.7765,-73.4673,45.88,47,4,11.99
126,Takoradi,GH,2022-04-28 01:38:22,4.8845,-1.7554,78.89,84,100,6.78
127,Grindavik,IS,2022-04-28 01:38:23,63.8424,-22.4338,43.27,87,75,3.44
128,Tiznit,MA,2022-04-28 01:38:23,29.5833,-9.5,58.01,78,0,3.56
129,Buchanan,LR,2022-04-28 01:38:24,5.8808,-10.0467,79.36,85,32,1.99
130,Emerald,AU,2022-04-28 01:38:24,-23.5333,148.1667,80.74,57,40,10.36
131,Geraldton,AU,2022-04-28 01:38:24,-28.7667,114.6,68.41,73,75,5.75
132,Yulara,AU,2022-04-28 01:38:25,-25.2406,130.9889,80.44,28,40,6.91
133,Dubna,RU,2022-04-28 01:38:25,56.7333,37.1667,27.48,85,60,3.69
134,Pangnirtung,CA,2022-04-28 01:38:26,66.1451,-65.7125,2.26,75,71,10.02
135,Port Hedland,AU,2022-04-28 01:38:26,-20.3167,118.5667,84.25,48,40,4.61
136,Tiksi,RU,2022-04-28 01:38:26,71.6872,128.8694,9.73,89,84,1.59
137,Bambous Virieux,MU,2022-04-28 01:38:27,-20.3428,57.7575,73.22,94,20,4.61
138,La Ronge,CA,2022-04-28 01:38:27,55.1001,-105.2842,41.22,65,75,13.8
139,Coahuayana,MX,2022-04-28 01:38:28,18.7333,-103.6833,74.95,73,0,1.57
140,Saryg-Sep,RU,2022-04-28 01:38:28,51.5,95.6,44.62,42,10,2.46
141,Kande,TG,2022-04-28 01:38:29,9.9578,1.0447,82.11,57,100,5.66
142,Dunedin,NZ,2022-04-28 01:36:39,-45.8742,170.5036,60.8,52,51,8.01
143,Gannan,CN,2022-04-28 01:38:29,47.9147,123.5031,51.82,14,0,6.85
144,Tucupita,VE,2022-04-28 01:38:30,9.0622,-62.051,74.93,92,100,2.98
145,Arlit,NE,2022-04-28 01:38:30,18.7369,7.3853,78.21,12,0,8.37
146,Longyearbyen,SJ,2022-04-28 01:38:31,78.2186,15.6401,1.24,55,75,9.22
147,Ilam,NP,2022-04-28 01:38:31,26.9167,87.9167,75.13,56,0,3.33
148,Chuy,UY,2022-04-28 01:38:31,-33.6971,-53.4616,57.4,90,0,5.06
149,Asau,RO,2022-04-28 01:38:32,46.4333,26.4,49.95,100,100,2.93
150,Saint George,US,2022-04-28 01:35:43,37.1041,-113.5841,82.99,11,0,12.66
151,Bandarbeyla,SO,2022-04-28 01:38:32,9.4942,50.8122,80.82,80,96,3.51
152,Ratnagiri,IN,2022-04-28 01:38:33,16.9833,73.3,83.61,70,21,5.41
153,Torbay,CA,2022-04-28 01:38:33,47.6666,-52.7314,36.28,92,75,3.0
154,Kutum,SD,2022-04-28 01:38:34,14.2,24.6667,76.96,13,90,6.26
